RowNumber	CustomerId	CreditScore	Geography	Gender	Age	Tenure	Balance	HasCrCard	IsActiveMember	EstimatedSalary	Exited	NumOfProducts	Surname	Linear Regression	Random Forest
continuous	continuous	continuous	France Germany Spain	Female Male	continuous	continuous	continuous	0 1	0 1	continuous	0 1	continuous	string	continuous	continuous
												class	meta	meta	meta
6253.0	15687492.0	596.0	Germany	Male	32.0	3.0	96709.07	0	0	41788.37	0	2.0	Anderson	1.6033865508264895	1.75
4685.0	15736963.0	623.0	France	Male	43.0	1.0	0.0	1	1	146379.3	0	2.0	Herring	1.7477192767687588	1.846666666666667
1732.0	15721730.0	601.0	Spain	Female	44.0	4.0	0.0	1	0	58561.31	0	2.0	Amechi	1.7648725405625652	1.9
4743.0	15762134.0	506.0	Germany	Male	59.0	8.0	119152.1	1	1	170679.74	0	2.0	Liang	1.5515131578948687	1.8
4522.0	15648898.0	560.0	Spain	Female	27.0	7.0	124995.98	1	1	114669.79	0	1.0	Chuang	1.359258424969627	1.1166666666666667
6341.0	15659064.0	790.0	Spain	Male	37.0	8.0	0.0	1	1	149418.41	0	2.0	Salas	1.7595246405069755	1.8
577.0	15761986.0	439.0	Spain	Female	32.0	3.0	138901.61	1	0	75685.97	0	1.0	Obialo	1.308403622085545	1.0666666666666667
5203.0	15713354.0	597.0	Germany	Female	22.0	6.0	101528.61	1	0	70529.0	1	1.0	Morrice	1.561276197299925	1.455
6364.0	15593454.0	678.0	Spain	Female	40.0	4.0	113794.22	1	0	16618.76	0	1.0	Lambert	1.3709239410635086	1.0
440.0	15690134.0	464.0	Germany	Female	42.0	3.0	85679.25	1	1	164104.74	0	1.0	Hughes	1.671810553073835	1.3660714285714284
2751.0	15767474.0	481.0	France	Female	57.0	9.0	0.0	1	1	169719.35	1	3.0	Lorenzo	1.7340208941852655	2.2535714285714286
7488.0	15785367.0	651.0	France	Female	56.0	4.0	0.0	0	0	84383.22	1	1.0	McGuffog	1.7433573517438512	1.161904761904762
5273.0	15587507.0	850.0	France	Male	47.0	6.0	0.0	1	0	187391.02	1	1.0	Feng	1.6997308632130907	1.05
